ENSSSAG00000040134	ENSSSAG00000040134	Gene Expression
ENSSSAG00000008979	atp5if1b	Gene Expression
ENSSSAG00000092291	ENSSSAG00000092291	Gene Expression
ENSSSAG00000093362	ENSSSAG00000093362	Gene Expression
ENSSSAG00000009047	zmpste24	Gene Expression
ENSSSAG00000000057	ENSSSAG00000000057	Gene Expression
ENSSSAG00000085621	ENSSSAG00000085621	Gene Expression
ENSSSAG00000089786	ENSSSAG00000089786	Gene Expression
ENSSSAG00000083486	ENSSSAG00000083486	Gene Expression
ENSSSAG00000099783	cdkl1	Gene Expression
ENSSSAG00000040551	jmjd7	Gene Expression
ENSSSAG00000098127	ENSSSAG00000098127	Gene Expression
ENSSSAG00000040761	mapkbp1	Gene Expression
ENSSSAG00000070864	ENSSSAG00000070864	Gene Expression
ENSSSAG00000080444	ENSSSAG00000080444	Gene Expression
ENSSSAG00000070896	ENSSSAG00000070896	Gene Expression
ENSSSAG00000080448	ENSSSAG00000080448	Gene Expression
ENSSSAG00000084497	ENSSSAG00000084497	Gene Expression
ENSSSAG00000103367	ENSSSAG00000103367	Gene Expression
ENSSSAG00000082248	ENSSSAG00000082248	Gene Expression
ENSSSAG00000094591	si:ch211-10a23.2	Gene Expression
ENSSSAG00000009184	dylt1	Gene Expression
ENSSSAG00000084715	ENSSSAG00000084715	Gene Expression
ENSSSAG00000000085	plek2	Gene Expression
ENSSSAG00000000533	rasgrf2a	Gene Expression
ENSSSAG00000009217	znf593	Gene Expression
ENSSSAG00000118362	smpd4	Gene Expression
ENSSSAG00000088399	ENSSSAG00000088399	Gene Expression
ENSSSAG00000009232	selenon	Gene Expression
ENSSSAG00000084515	ENSSSAG00000084515	Gene Expression
ENSSSAG00000103107	ENSSSAG00000103107	Gene Expression
ENSSSAG00000009278	ENSSSAG00000009278	Gene Expression
ENSSSAG00000093886	mtfr1l	Gene Expression
ENSSSAG00000116318	ENSSSAG00000116318	Gene Expression
ENSSSAG00000009327	stac	Gene Expression
ENSSSAG00000009411	ENSSSAG00000009411	Gene Expression
ENSSSAG00000114975	actn1	Gene Expression
ENSSSAG00000009375	ENSSSAG00000009375	Gene Expression
ENSSSAG00000000140	sfswap	Gene Expression
ENSSSAG00000108414	ENSSSAG00000108414	Gene Expression
ENSSSAG00000000176	ENSSSAG00000000176	Gene Expression
ENSSSAG00000102689	ENSSSAG00000102689	Gene Expression
ENSSSAG00000085679	ENSSSAG00000085679	Gene Expression
ENSSSAG00000046851	bspry	Gene Expression
ENSSSAG00000114135	zmynd19	Gene Expression
ENSSSAG00000071684	med15	Gene Expression
ENSSSAG00000115891	ENSSSAG00000115891	Gene Expression
ENSSSAG00000002773	ccl19b	Gene Expression
ENSSSAG00000098224	ENSSSAG00000098224	Gene Expression
ENSSSAG00000001718	UNC13B	Gene Expression
ENSSSAG00000098410	ENSSSAG00000098410	Gene Expression
ENSSSAG00000043168	ERLEC1	Gene Expression
ENSSSAG00000097476	si:ch211-222n4.2	Gene Expression
ENSSSAG00000043370	PSME4	Gene Expression
ENSSSAG00000045379	MED13L	Gene Expression
ENSSSAG00000028365	ENSSSAG00000028365	Gene Expression
ENSSSAG00000120609	kcng3	Gene Expression
ENSSSAG00000001433	COX7A2L	Gene Expression
ENSSSAG00000112748	ENSSSAG00000112748	Gene Expression
ENSSSAG00000086987	ENSSSAG00000086987	Gene Expression
ENSSSAG00000110915	ENSSSAG00000110915	Gene Expression
ENSSSAG00000084986	nkx6.2	Gene Expression
ENSSSAG00000000768	ENSSSAG00000000768	Gene Expression
ENSSSAG00000009475	ENSSSAG00000009475	Gene Expression
ENSSSAG00000067040	ENSSSAG00000067040	Gene Expression
ENSSSAG00000054084	wnt8b	Gene Expression
ENSSSAG00000086516	ptpn11a	Gene Expression
ENSSSAG00000082221	ENSSSAG00000082221	Gene Expression
ENSSSAG00000000141	hif1an	Gene Expression
ENSSSAG00000048356	kidins220a	Gene Expression
ENSSSAG00000083448	tmed2	Gene Expression
ENSSSAG00000003279	vldlr	Gene Expression
ENSSSAG00000060075	anapc1	Gene Expression
ENSSSAG00000002049	ENSSSAG00000002049	Gene Expression
ENSSSAG00000002060	ENSSSAG00000002060	Gene Expression
ENSSSAG00000002073	ENSSSAG00000002073	Gene Expression
ENSSSAG00000002087	ENSSSAG00000002087	Gene Expression
ENSSSAG00000000890	ENSSSAG00000000890	Gene Expression
ENSSSAG00000005159	ENSSSAG00000005159	Gene Expression
ENSSSAG00000000815	pcnx2	Gene Expression
ENSSSAG00000003555	golga4	Gene Expression
ENSSSAG00000002810	ENSSSAG00000002810	Gene Expression
ENSSSAG00000118030	ENSSSAG00000118030	Gene Expression
ENSSSAG00000002924	ENSSSAG00000002924	Gene Expression
ENSSSAG00000005527	ENSSSAG00000005527	Gene Expression
ENSSSAG00000078071	ENSSSAG00000078071	Gene Expression
ENSSSAG00000007107	ENSSSAG00000007107	Gene Expression
ENSSSAG00000089481	ENSSSAG00000089481	Gene Expression
ENSSSAG00000006890	ENSSSAG00000006890	Gene Expression
ENSSSAG00000074338	ccdc85a	Gene Expression
ENSSSAG00000108446	ENSSSAG00000108446	Gene Expression
ENSSSAG00000082341	rac3b	Gene Expression
ENSSSAG00000079832	ENSSSAG00000079832	Gene Expression
ENSSSAG00000079835	ENSSSAG00000079835	Gene Expression
ENSSSAG00000077346	ash2l	Gene Expression
ENSSSAG00000006907	kif11	Gene Expression
ENSSSAG00000109946	ENSSSAG00000109946	Gene Expression
ENSSSAG00000110426	ENSSSAG00000110426	Gene Expression
ENSSSAG00000043590	RFNG	Gene Expression
ENSSSAG00000032452	ubr2	Gene Expression
ENSSSAG00000001360	slc38a10	Gene Expression
ENSSSAG00000001496	TEPSIN	Gene Expression
ENSSSAG00000001696	csn1	Gene Expression
ENSSSAG00000086596	ENSSSAG00000086596	Gene Expression
ENSSSAG00000071141	ENSSSAG00000071141	Gene Expression
ENSSSAG00000098641	zbtb43	Gene Expression
ENSSSAG00000099038	ENSSSAG00000099038	Gene Expression
ENSSSAG00000063014	map3k1	Gene Expression
ENSSSAG00000067244	TRIM8	Gene Expression
ENSSSAG00000067937	ENSSSAG00000067937	Gene Expression
ENSSSAG00000015680	ENSSSAG00000015680	Gene Expression
ENSSSAG00000000105	nat9	Gene Expression
ENSSSAG00000067172	sfxn2	Gene Expression
ENSSSAG00000111101	cssa01h5orf63	Gene Expression
ENSSSAG00000035308	marchf3	Gene Expression
ENSSSAG00000035636	lmnb1	Gene Expression
